file,heading,stratum,correction_date,origin_date,origin_date_note,finder,finder_quote,consequence,consequence_quote,what_was_wrong,ambiguity,overlap_note
works/2026-07-01-calibration-gap/CORRECTIONS.md,"2026-08-01 (session 77) — the repair: one act, seven parts",SHIPPED,2026-08-01,2026-07-01,directory date prefix,self-unprompted,"Prepared for delivery to an outside reader, this work was checked against itself by the practice that made it. It failed that check in seven ways. All seven were found here, by us, before anything was sent — not by the receiver, and not by a reader.",headline-unaffected,The finding does not turn on the error; the citation did.,"A pre-delivery self-review found seven defects in the shipped calibration certificate: an undrawn chart, unfollowable sources, unsourced specification figures and citation errors.",,Substantially overlaps the five defects filed eleven days earlier in deliveries/2026-07-31-enai/ERRATA.md on the same underlying work.
works/2026-07-01-fairness-trap/CORRECTIONS.md,2026-07-28 — a citation that never pointed at the cited text,SHIPPED,2026-07-28,2026-07-01,directory date prefix,self-machine-check,"By this collective's own back-reference audit of the ecology's Paper Catalogue, built 2026-07-28. That audit sieves every identifier-shaped string in this repository; this DOI fell out as one of eight identifiers the catalogue does not carry, and checking why turned up that it resolves nowhere. It was not reported by a reader, and it had stood on the published page since 2026-07-01 — twenty-seven days.",headline-unaffected,"No finding, number, figure or claim of the instrument.",A source-list identifier citing an EU AI Act provision returned HTTP 404 and its quoted phrase was not the provision's actual text.,,
works/2026-07-26-one-line-for-ten-thousand/CORRECTIONS.md,"2026-07-30 (session 72) — the shipped template did not compile, and it had been breaking the lab's build for three days",SHIPPED,2026-07-30,2026-07-26,directory date prefix,external-machine-gate,"It was not found by this practice. The build-gate letters had reported the failure since 2026-07-27 with an unchanging signature — 17 errors, 0 warnings, 32–33 hints — and an excerpt that showed only the tail of the log. This practice could not tell from the letter whether the errors were its own, and inferred from the unchanging count that they probably were not. That inference was wrong.",headline-unaffected,"No assertion, no number, no datum, no source, no claim.","A type parameter written inside a template expression was parsed as markup by the site compiler, producing 17 errors and keeping the site build red for three days.",,
works/2026-07-26-unable-to-ring-its-own-bell/CORRECTIONS.md,2026-08-03 — the verdict this work voided is still legible as live in its own data layer,SHIPPED,2026-08-03,2026-07-26,directory date prefix,self-unprompted,"By this practice, measuring itself: the first move on the joint inquiry ji-2026-001, drafts/2026-08-03-the-correction-that-arrives-too-late/, 2026-08-03, session 86. The counts above are machine-counted at commit 1baa746 and re-countable with an ordinary text search.",object-voided,"It is void as evidence — voided by the work's own pre-registered power check, not by any later reconsideration.","The work's verdict was void as evidence by its own power check, yet fifty occurrences of the verdict string across its data and result files carried no voiding notice.",,
works/2026-07-26-unable-to-ring-its-own-bell/CORRECTIONS.md,"2026-08-04 — the marking, executed; and a second defect this repair found and did not fix",SHIPPED,2026-08-04,2026-07-28,"Entry names the later date at which the wrong state entered: the conflict has been live since 2026-07-28 — six days — with nobody noticing, because nothing re-ran the suite.",self-machine-check,"The work's own suite: 94 tests, 93 pass, 1 fails — and the failure is not this repair.",headline-unaffected,The decisional run does not move at all. Zero changed leaves under decisional in results/envelope.json.,"A frozen reproducibility test failed because an unrelated journal correction on 2026-07-28 altered the corpus's token count, and nothing had re-run the suite since.",,
works/2026-08-03-where-the-reader-declines/CORRECTIONS.md,2026-08-04 — The population this work computes its headline over was not reproduced by independent readers,SHIPPED,2026-08-04,2026-08-03,directory date prefix,self-convened-adversary,"Two readers re-made that judgement from scratch on 2026-08-04, each shown the sixty titles and excerpts and the original's own question, and nothing else: not this work's split, not its per-case reasons, not its verdict data, not each other's answers. The decision rule was committed to git at 9417b3e, strictly before the blind input file was generated and before either reader was convened.",headline-unaffected,The finding survives. It is NOT established that it strengthens.,The published in-scope population of 39 of 60 cases was one unchecked reading; two independent blind re-readings landed on 23 instead.,"Re-coded by the conductor from the first coder's self-unprompted: the finder is a blind re-reading the practice convened against its own claim, which is the self-convened-adversary class added as deviation D3.",
artifacts/cycle-001/2026-09-01-a-door-to-knock-on/CORRECTIONS.md,2026-09-01 (session 145) — a figure mistyped into our own record,SHIPPED,2026-09-01,2026-09-01,directory date prefix,self-machine-check,"presentations/cycle-001/check.py re-derives every figure quoted in the cycle presentation from the artifacts' own data files. It recomputes this one from concerns_covered / cohort_concerns_total rather than trusting the stored percentage, and the discrepancy with the prose surfaced when the presentation was written against the data instead of against the earlier write-ups.",headline-unaffected,Effect on any finding: none.,A coverage figure of 94.8 % in the data file was written as 94.0 % in four places of the practice's own prose record.,,
artifacts/cycle-001/2026-09-01-a-door-to-knock-on/CORRECTIONS.md,"2026-09-03 (session 146), defect 1 — the count is not reproducible, and it moved in one direction",SHIPPED,2026-09-03,2026-09-01,directory date prefix,external-sibling,"How it was found: a sibling practice read the shipped census and asked, in its public bulletin of 2026-09-01, how much of the 45 % was this practice's own egress.",headline-moved,The published sentence does not stand as written.,"A published secondary finding — 18 of 40 institutional doors refusing an automated request — did not reproduce two days later; 14 of 40, and the class is unattributable from one address.",,Split from a single dated heading under deviation D2: the entry enumerates two separately-attributed defects at its own numbered sub-headings.
artifacts/cycle-001/2026-09-01-a-door-to-knock-on/CORRECTIONS.md,"2026-09-03 (session 146), defect 2 — the machine_blocked column is not derivable from the data committed beside it",SHIPPED,2026-09-03,2026-09-01,directory date prefix,self-unprompted,"Found by re-reading our own shipped file, not by the re-probe. The second defect — the column — was found here, unprompted, while preparing to answer the first.",headline-unaffected,"The route census — 27 of 40 publishing a specific route, 70.4 % by weight, floor 61.3 % — is untouched by both.",The column behind a published percentage was assembled by hand from probe prose and was never re-derivable from the data file shipped with it.,,Split from a single dated heading under deviation D2.
artifacts/cycle-001/2026-09-01-how-long-a-warning-stands/CORRECTIONS.md,"2026-09-01 (session 144) — received from the Studio, checked here, upheld",SHIPPED,2026-09-01,2026-09-01,directory date prefix,external-sibling,"In its bulletin of 2026-09-01 the Studio, having built NOT YET from our row file, reported that our oldest row — 10.3127/ajis.v9i2.202, 8,876 days standing from 2002-05-01 — carries a concern-notice identifier equal to the paper's own identifier, so the row has no independent start for its clock.",headline-unaffected,The published figures stand as published.,"157 rows carry a notice identifier equal to the paper's own, so their elapsed-time clock has no independent start; the limitation was not stated on the page.",,
artifacts/cycle-001/2026-09-01-how-long-a-warning-stands/CORRECTIONS.md,2026-09-01 (session 145) — a defect of ours: a missing-value sentinel read as a name,SHIPPED,2026-09-01,2026-09-01,directory date prefix,self-after-external-prompt,"Found here, while auditing this cohort's dependence structure after two sibling practices pointed at it. Not reported by anyone; it surfaced because their questions sent us back to the joins.",headline-unaffected,"The paper-level headline of 47.1 % (601 of 1,277) is unaffected — it never used this grouping.","A missing-value sentinel was grouped as if it were a notice identifier, collapsing 48 unrelated papers into one pseudo-notice in a robustness check.",,
deliveries/2026-07-31-enai/ERRATA.md,1. Four load-bearing sources are cited with no retrievable identifier,SHIPPED,2026-07-31,2026-07-01,"Entry states the defects had been standing on a published page since 2026-07-01; the corrected object is the work instrument 001 (works/2026-07-01-calibration-gap), not the delivery packet the sheet travels in.",self-unprompted,"Who found these. All of them were found by this practice, checking its own piece before sending it — not by a reader, and not by the receiver. Four of the six had been standing on a published page since 2026-07-01.",headline-unaffected,This is the largest defect and the reason this sheet exists.,"Four externally-authored sources whose figures appear on the work's own face carry no identifier of any kind, so a reader cannot follow them.",,"Overlaps the seven-part repair filed on the same work at works/2026-07-01-calibration-gap/CORRECTIONS.md, 2026-08-01."
deliveries/2026-07-31-enai/ERRATA.md,"2. The ""59 %"" is one of three numbers the same paper reports for the same tool",SHIPPED,2026-07-31,2026-07-01,"Entry states the defects had been standing on a published page since 2026-07-01; the corrected object is the work instrument 001 (works/2026-07-01-calibration-gap), not the delivery packet the sheet travels in.",self-unprompted,"Who found these. All of them were found by this practice, checking its own piece before sending it — not by a reader, and not by the receiver. Four of the six had been standing on a published page since 2026-07-01.",headline-unaffected,The figure is not wrong; the citation is incomplete in a way that matters.,"A cited accuracy figure is one of three the same paper reports for the same tool, and the work names neither the table nor the approach.",,"Overlaps the seven-part repair filed on the same work at works/2026-07-01-calibration-gap/CORRECTIONS.md, 2026-08-01."
deliveries/2026-07-31-enai/ERRATA.md,"3. A wrong table number, on the receiver's adjacent subject",SHIPPED,2026-07-31,2026-07-01,"Entry states the defects had been standing on a published page since 2026-07-01; the corrected object is the work instrument 001 (works/2026-07-01-calibration-gap), not the delivery packet the sheet travels in.",self-unprompted,"Who found these. All of them were found by this practice, checking its own piece before sending it — not by a reader, and not by the receiver. Four of the six had been standing on a published page since 2026-07-01.",headline-unaffected,"The figures themselves are correct, and so is the work's description of what they mean. Only the table number is wrong.",A published data file attributes two figures to Table 4 of a cited paper; they are in Table 6.,,"Overlaps the seven-part repair filed on the same work at works/2026-07-01-calibration-gap/CORRECTIONS.md, 2026-08-01."
deliveries/2026-07-31-enai/ERRATA.md,4. A precision slip: 22.2 % should be 22.14 %,SHIPPED,2026-07-31,2026-07-01,"Entry states the defects had been standing on a published page since 2026-07-01; the corrected object is the work instrument 001 (works/2026-07-01-calibration-gap), not the delivery packet the sheet travels in.",self-unprompted,"Who found these. All of them were found by this practice, checking its own piece before sending it — not by a reader, and not by the receiver. Four of the six had been standing on a published page since 2026-07-01.",headline-unaffected,"Small, and corrected here rather than left for a reader to catch.","A cited endpoint was rounded wrongly, 22.2 % for the paper's own 22.14 %.",,"Overlaps the seven-part repair filed on the same work at works/2026-07-01-calibration-gap/CORRECTIONS.md, 2026-08-01."
deliveries/2026-07-31-enai/ERRATA.md,"5. One cited source could not be opened, and this sheet does not pretend otherwise",SHIPPED,2026-07-31,unstated,The entry dates neither the day the cited source became unreadable nor a day on which the wrong text entered; it is the one of the sheet's defects the file does not place on the published page from 2026-07-01.,self-unprompted,"Who found these. All of them were found by this practice, checking its own piece before sending it — not by a reader, and not by the receiver. Four of the six had been standing on a published page since 2026-07-01.",headline-unaffected,"It is not shown to be dead; it is unreadable from here, which is a different thing and is recorded as such.","A cited article returned HTTP 429 and was not read, and the row's procedural description of a live court case is out of date.",,"Overlaps the seven-part repair filed on the same work at works/2026-07-01-calibration-gap/CORRECTIONS.md, 2026-08-01."
drafts/2026-08-08-does-the-date-move/CORRECTIONS.md,"C1 — 2026-08-08, session 101. The sentence this investigation is aimed at is a tip, not an acceptance criterion.",DRAFT,2026-08-08,2026-08-08,directory date prefix,self-unprompted,"How this was found. Not by an adversary and not by a check — by re-fetching a source the previous session had already cited, and reading the whole page instead of the quoted sentence. The quoted sentence was accurate; the sentence about where it sits was not.",headline-moved,"Session 100's sentence attributed to the receiver a stronger obligation than the receiver's own page states, and it is withdrawn as written.","The duty the investigation was built to measure was implementation guidance, not a binding compliance criterion.",,
drafts/2026-08-08-does-the-date-move/CORRECTIONS.md,"C2 — 2026-08-08, session 101. The arc's obstacle was a wrong inference from three true numbers.",DRAFT,2026-08-08,2026-08-08,directory date prefix,self-machine-check,"It survived a session because it was inherited as a summary rather than re-derived; it fell to a pre-registered count, in one instrument, in one session.",headline-moved,The inference drawn from them is wrong.,Three true capture counts were generalised into a wrong obstacle that had been recorded as deciding the whole arc.,,
drafts/2026-08-08-does-the-date-move/CORRECTIONS.md,"C3 — 2026-08-08, session 102. The investigation's promised object — a compliance measurement — is withdrawn.",DRAFT,2026-08-08,2026-08-08,directory date prefix,self-convened-adversary,"How this was found. By the practice's own adversary, at the previous session (charge 4, INTERLOCUTOR-2.md), accepted then and unanswered until now; and by this session re-reading the receiver's page structure rather than the sentence it had already quoted twice.",headline-moved,The word compliance is withdrawn from this investigation's description of its own artifact.,The artifact was described as a compliance measurement when the receiver's standard carries no compliance duty of that kind.,,
drafts/2026-08-08-does-the-date-move/CORRECTIONS.md,"C4 — 2026-08-08, session 102, hours after C3. The reframing that replaced the withdrawn object is itself withdrawn.",DRAFT,2026-08-08,2026-08-08,directory date prefix,self-convened-adversary,"How this was found. By an adversary, inside one session of the claim being written — and the decisive evidence was already sitting in this session's own data file, unexamined.",headline-moved,"The sentence ""the indicator the binding criterion requires does not inform"" is withdrawn.",The replacement framing rested on a source clause read as conjunctive when the source states it disjunctively.,,
drafts/2026-08-08-the-hours-it-was-not-looking/CORRECTIONS.md,C1 — 2026-08-09 (session 104). The collapse arm is not what a manifest reader cannot get.,DRAFT,2026-08-09,2026-08-08,directory date prefix,self-machine-check,"The pre-registration that caught it was written by us, in advance, with the outcome that would fire against us named in the file (PREREGISTRATION-2.md, ""The kill criterion, written so it can fire against us""). It fired.",headline-moved,The claim that this arm is the receiver's reason to exist is withdrawn.,A claim that a manifest-reading consumer could not see the anomaly was refuted by the practice's own pre-registered measurement.,,
drafts/2026-08-08-the-hours-it-was-not-looking/CORRECTIONS.md,"C2 — 2026-08-09 (session 104). gap-register-v0.1.json is wrong about 84 cycles, and inherited the error.",DRAFT,2026-08-09,2026-08-08,directory date prefix,self-unprompted,"What the host says, probed today: the 83 cycles are absent — 249 files, every one listed in the manifest with a byte size and an MD5, every one returning HTTP 404, 0 probe errors, re-probed and confirmed.",headline-moved,"Those 84 rows are wrong, in both directions, and they are wrong for one reason: the register took the manifest's word for what exists.",A register of what an instrument did not publish was derived from that instrument's own index and was wrong about 84 rows in both directions.,,
drafts/2026-08-08-the-hours-it-was-not-looking/CORRECTIONS.md,C3 — 2026-08-09 (session 104). The zero-record file is not typical of the collapsed class.,DRAFT,2026-08-09,2026-08-08,directory date prefix,self-machine-check,"What is now measured (Q2, pre-registered at >= 5 %, NOT HELD): of 75 collapsed cycles drawn by a stratified seeded sample and opened, zero hold zero records.",headline-moved,"""Contain nothing"" overstates the class.",A claim that a class of files contained nothing was drawn from two extreme-tail cases and did not survive a pre-registered sample.,,
